icao,wmo,faa,name,country,state,latitude,longitude,elevation,begin,end,station id,hadisd duplicate
KABQ,723650,23050,ALBUQUERQUE INTERNATIONAL SUNPORT AIRPORT,US,NM,35.042,-106.615,1618.4,19410701,20220228,723650-23050,FALSE
KACV,725945,24283,ARCATA AIRPORT,US,CA,40.978,-124.105,64.5,19730101,20220228,725945-24283,FALSE
KAKO,724698,24015,COLORADO PLAINS REGIONAL AIRPORT,US,CO,40.174,-103.215,1428,19730101,20220228,724698-24015,FALSE
KBCE,724756,23159,BRYCE CANYON AIRPORT,US,UT,37.701,-112.149,2309.9,19730101,20220228,724756-23159,FALSE
KBFL,723840,23155,MEADOWS FIELD AIRPORT,US,CA,35.434,-119.055,149.3,19411001,20220228,723840-23155,FALSE
KBKF,724695,23036,BUCKLEY AIR FORCE BASE,US,CO,39.717,-104.75,1726.1,19440301,20220228,724695-23036,FALSE
KBLH,747188,23158,BLYTHE ASOS,US,CA,33.619,-114.715,120.4,19420613,20220227,747188-23158,FALSE
KBOI,726810,24131,BOISE AIR TERMINAL,US,ID,43.567,-116.241,860.5,19310101,20220228,726810-24131,FALSE
KBUR,722880,23152,BURBANK-GLENDALE-PASADENA AIRPORT,US,CA,34.2,-118.365,222.7,19430601,20220228,722880-23152,FALSE
KBZN,726797,24132,GALLATIN FIELD AIRPORT,US,MT,45.788,-111.162,1350.7,19730101,20220228,726797-24132,FALSE
KCAG,725700,99999,CRAIG-MOFFAT AIRPORT,US,CO,40.5,-107.533,1915,19770827,20051231,725700-99999,FALSE
KCQT,722874,93134,DOWNTOWN LOS ANGELES USC CAMPUS,US,CA,34.024,-118.291,54.6,20000101,20220228,722874-93134,FALSE
KCYS,725640,24018,CHEYENNE AIRPORT,US,WY,41.158,-104.808,1864.9,19480101,20220228,725640-24018,FALSE
KDNR,724690,23062,DENVER WEATHER SERVICE FORECAST OFFICE,US,CO,39.75,-104.867,1612,19400515,19950301,724690-23062,FALSE
KEED,723805,23179,NEEDLES AIRPORT,US,CA,34.768,-114.618,270.6,19770217,20220228,723805-23179,FALSE
KEKO,725825,24121,ELKO REGIONAL AIRPORT,US,NV,40.824,-115.786,1540.5,19770101,20220228,725825-24121,FALSE
KELP,722700,23044,EL PASO INTERNATIONAL AIRPORT,US,TX,31.812,-106.377,1202.1,19410401,20220228,722700-23044,FALSE
KFAT,723890,93193,FRESNO YOSEMITE INTERNATIONAL AIRPORT,US,CA,36.78,-119.72,101.9,19411204,20220228,723890-93193,FALSE
KFLG,723755,03103,FLAGSTAFF PULLIAM AIRPORT,US,AZ,35.144,-111.666,2139.1,19480101,20041231,723755-03103,FALSE
KFSD,726510,14944,JOE FOSS FIELD AIRPORT,US,SD,43.578,-96.754,432.4,19421001,20220228,726510-14944,FALSE
KGEG,727850,24157,SPOKANE INTERNATIONAL AIRPORT,US,WA,47.622,-117.528,717.7,19410811,20220301,727850-24157,FALSE
KIDA,725785,24145,IDAHO FALLS REGIONAL ARPT,US,ID,43.52,-112.068,1442.7,19730101,20220228,725785-24145,FALSE
KIGM,723700,93167,KINGMAN AIRPORT,US,AZ,35.257,-113.934,1043.5,19990101,20220228,723700-93167,TRUE
KIPL,747185,03144,IMPERIAL COUNTY AIRPORT,US,CA,32.834,-115.579,-16,19730101,20051231,747185-99999,FALSE
KLAR,725645,24022,LARAMIE REGIONAL AIRPORT,US,WY,41.317,-105.673,2216.8,19730101,20220228,725645-24022,FALSE
KLAS,723860,23169,MCCARRAN INTERNATIONAL AIRPORT,US,NV,36.072,-115.163,662.8,19730101,20220228,723860-23169,FALSE
KLAX,722950,23174,LOS ANGELES INTERNATIONAL AIRPORT,US,CA,33.938,-118.387,29.7,19440101,20220228,722950-23174,TRUE
KLGB,722970,23129,LONG BEACH DAUGHERTY FIELD,US,CA,33.812,-118.147,10.2,19430101,20220228,722970-23129,FALSE
KLMT,725895,94236,KLAMATH FALLS AIRPORT,US,OR,42.147,-121.726,1244.5,19590901,20220228,725895-94236,FALSE
KLSV,746140,23112,NELLIS AFB AIRPORT,US,NV,36.25,-115.033,570,20050101,20220228,746140-23112,FALSE
KLUF,722785,23111,LUKE AFB AIRPORT,US,AZ,33.55,-112.367,330.7,19411201,20220228,722785-23111,FALSE
KMCE,724815,99999,MERCED MUNI MACREADY,US,CA,37.285,-120.514,48,19831001,20051231,724815-23257,FALSE
KMCI,724460,03947,KANSAS CITY INTERNATIONAL AIRPORT,US,MO,39.297,-94.731,307.4,19730101,20220228,724460-03947,FALSE
KMOD,724926,23258,MODESTO CITY-COUNTY AIRPORT,US,CA,37.625,-120.955,26.6,19730101,20220228,724926-23258,FALSE
KMSO,727730,24153,MISSOULA INTERNATIONAL AIRPORT,US,MT,46.921,-114.094,973.8,19730101,20220301,727730-24153,FALSE
KNKX,722931,93107,SAN DIEGO MIRAMAR WSCMO,US,CA,32.867,-117.133,145.7,19470701,19881231,999999-93107,FALSE
