year,month,WY,total_precipitation_in,days_with_data
1950,1,1950,3.06,31
1950,2,1950,2.34,28
1950,3,1950,0.94,31
1950,4,1950,0.86,30
1950,5,1950,0.04,31
1950,6,1950,0,30
1950,7,1950,0,31
1950,8,1950,0,31
1950,9,1950,0,30
1950,10,1951,0.05,31
1950,11,1951,1.97,30
1950,12,1951,0.04,31
1951,1,1951,2.94,31
1951,2,1951,1.1,28
1951,3,1951,0.76,31
1951,4,1951,1.47,30
1951,5,1951,0.22,31
1951,6,1951,0,30
1951,7,1951,0,31
1951,8,1951,0,31
1951,9,1951,0.33,30
1951,10,1952,0.63,31
1951,11,1952,1.1,30
1951,12,1952,8.24,31
1952,1,1952,7.9,31
1952,2,1952,0.27,29
1952,3,1952,7.92,31
1952,4,1952,1.98,30
1952,5,1952,0,31
1952,6,1952,0,30
1952,7,1952,0,31
1952,8,1952,0,31
1952,9,1952,0.29,30
1952,10,1953,0,31
1952,11,1953,4.56,30
1952,12,1953,3.14,31
1953,1,1953,1.34,31
1953,2,1953,0.71,28
1953,3,1953,1.28,31
1953,4,1953,1.81,30
1953,5,1953,0.12,31
1953,6,1953,0.04,30
1953,7,1953,0,31
1953,8,1953,0.07,31
1953,9,1953,0,30
1953,10,1954,0,31
1953,11,1954,1.12,30
1953,12,1954,0.49,31
1954,1,1954,7.45,31
1954,2,1954,3.02,28
1954,3,1954,4.24,31
1954,4,1954,0.15,30
1954,5,1954,0,31
1954,6,1954,0.01,30
1954,7,1954,0.02,31
1954,8,1954,0,31
1954,9,1954,0,30
1954,10,1955,0,31
1954,11,1955,1.98,30
1954,12,1955,1.42,31
1955,1,1955,4.55,31
1955,2,1955,1.34,28
1955,3,1955,0.47,31
1955,4,1955,0.8,30
1955,5,1955,1.75,31
1955,6,1955,0,30
1955,7,1955,0,31
1955,8,1955,0,31
1955,9,1955,0,30
1955,10,1956,0,31
1955,11,1956,1.46,30
1955,12,1956,1.46,31
1956,1,1956,8.98,31
1956,2,1956,0.49,29
1956,3,1956,0,31
1956,4,1956,1.9,30
1956,5,1956,0.39,31
1956,6,1956,0,30
1956,7,1956,0.23,31
1956,8,1956,0,31
1956,9,1956,0,30
1956,10,1957,0.16,31
1956,11,1957,0,30
1956,12,1957,0.76,31
1957,1,1957,5.94,31
1957,2,1957,1.16,28
1957,3,1957,1.56,31
1957,4,1957,1.27,30
1957,5,1957,1.25,31
1957,6,1957,0.37,30
1957,7,1957,0,31
1957,8,1957,0,31
1957,9,1957,0.04,30
1957,10,1958,2.1,31
1957,11,1958,0.66,30
1957,12,1958,5.32,31
1958,1,1958,2.67,31
1958,2,1958,8.22,28
1958,3,1958,5.32,31
1958,4,1958,5.36,30
1958,5,1958,0.4,31
1958,6,1958,0,30
1958,7,1958,0,31
1958,8,1958,0.22,31
1958,9,1958,0.23,30
1958,10,1959,0.04,31
1958,11,1959,0.31,30
1958,12,1959,0,31
1959,1,1959,2.18,31
1959,2,1959,2.96,28
1959,3,1959,0,31
1959,4,1959,0.52,30
1959,5,1959,0,31
1959,6,1959,0,30
1959,7,1959,0,31
1959,8,1959,0.05,31
1959,9,1959,0.04,30
1959,10,1960,0.01,31
1959,11,1960,0.2,30
1959,12,1960,1.36,31
1960,1,1960,2.39,31
1960,2,1960,3.09,29
1960,3,1960,0.75,31
1960,4,1960,1.28,30
1960,5,1960,0.1,31
1960,6,1960,0,30
1960,7,1960,0,31
1960,8,1960,0,31
1960,9,1960,0,30
1960,10,1961,0.78,1
1960,11,1961,1.9,1
1960,12,1961,0,31
1961,1,1961,2.78,1
1961,2,1961,0,28
1961,3,1961,1.49,31
1961,4,1961,0.27,1
1961,5,1961,0,31
1961,6,1961,0,30
1961,7,1961,0,31
1961,8,1961,0,31
1961,9,1961,0,30
1961,10,1962,0,31
1961,11,1962,1.51,30
1961,12,1962,2.28,31
1962,1,1962,1.27,31
1962,2,1962,8,28
1962,3,1962,1.31,1
1962,4,1962,0.03,30
1962,5,1962,0.49,31
1962,6,1962,0.03,30
1962,7,1962,0,31
1962,8,1962,0,31
1962,9,1962,0,30
1962,10,1963,0.15,31
1962,11,1963,0.02,30
1962,12,1963,0.09,31
1963,1,1963,0.21,31
1963,2,1963,5.08,28
1963,3,1963,4.82,31
1963,4,1963,1.39,30
1963,5,1963,0,31
1963,6,1963,0.13,30
1963,7,1963,0,0
1963,8,1963,0.04,31
1963,9,1963,0,0
1963,10,1964,0.28,31
1963,11,1964,4.32,30
1963,12,1964,0,31
1964,1,1964,2.7,31
1964,2,1964,0.17,29
1964,3,1964,2.45,31
1964,4,1964,0.99,30
1964,5,1964,0.22,31
1964,6,1964,0.2,30
1964,7,1964,0,31
1964,8,1964,0,31
1964,9,1964,0.02,30
1964,10,1965,0.14,31
1964,11,1965,2.14,30
1964,12,1965,1.93,31
1965,1,1965,0.91,31
1965,2,1965,0.49,28
