activity_id,institution_id,source_id,experiment_id,member_id,table_id,grid_label,variable_ids,start_year,end_year
LOCA2,UCSD,FGOALS-g3,historical,r1i1p1f1,day,d03,"""pr,tasmax,tasmin""",1950,2014
LOCA2,UCSD,FGOALS-g3,historical,r3i1p1f1,day,d03,"""pr,tasmax,tasmin""",1950,2014
LOCA2,UCSD,FGOALS-g3,historical,r4i1p1f1,day,d03,"""pr,tasmax,tasmin""",1950,2014
LOCA2,UCSD,FGOALS-g3,ssp245,r1i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,FGOALS-g3,ssp245,r3i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,FGOALS-g3,ssp245,r4i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,FGOALS-g3,ssp370,r1i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,FGOALS-g3,ssp370,r3i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,FGOALS-g3,ssp370,r4i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,FGOALS-g3,ssp585,r1i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,FGOALS-g3,ssp585,r3i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,FGOALS-g3,ssp585,r4i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,GFDL-ESM4,historical,r1i1p1f1,day,d03,"""pr,tasmax,tasmin""",1950,2014
LOCA2,UCSD,GFDL-ESM4,ssp245,r1i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,GFDL-ESM4,ssp370,r1i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,GFDL-ESM4,ssp585,r1i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,HadGEM3-GC31-LL,historical,r1i1p1f3,day,d03,"""pr,tasmax,tasmin""",1950,2014
LOCA2,UCSD,HadGEM3-GC31-LL,ssp245,r1i1p1f3,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,HadGEM3-GC31-LL,ssp585,r1i1p1f3,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,INM-CM5-0,historical,r1i1p1f1,day,d03,"""pr,tasmax,tasmin""",1950,2014
LOCA2,UCSD,INM-CM5-0,ssp245,r1i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,INM-CM5-0,ssp370,r1i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,INM-CM5-0,ssp585,r1i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,IPSL-CM6A-LR,historical,r1i1p1f1,day,d03,"""pr,tasmax,tasmin""",1950,2014
LOCA2,UCSD,IPSL-CM6A-LR,historical,r2i1p1f1,day,d03,"""pr,tasmax,tasmin""",1950,2014
LOCA2,UCSD,IPSL-CM6A-LR,historical,r3i1p1f1,day,d03,"""pr,tasmax,tasmin""",1950,2014
LOCA2,UCSD,IPSL-CM6A-LR,historical,r4i1p1f1,day,d03,"""pr,tasmax,tasmin""",1950,2014
LOCA2,UCSD,IPSL-CM6A-LR,ssp245,r1i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,IPSL-CM6A-LR,ssp245,r2i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,IPSL-CM6A-LR,ssp245,r3i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,IPSL-CM6A-LR,ssp245,r4i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,IPSL-CM6A-LR,ssp370,r1i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,IPSL-CM6A-LR,ssp370,r2i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,IPSL-CM6A-LR,ssp370,r3i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,IPSL-CM6A-LR,ssp370,r4i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,IPSL-CM6A-LR,ssp585,r1i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,IPSL-CM6A-LR,ssp585,r2i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,IPSL-CM6A-LR,ssp585,r3i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,IPSL-CM6A-LR,ssp585,r4i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
