activity_id,institution_id,source_id,experiment_id,member_id,table_id,grid_label,variable_ids,start_year,end_year
LOCA2,UCSD,HadGEM3-GC31-LL,historical,r2i1p1f3,day,d03,"""pr,tasmax,tasmin""",1950,2014
LOCA2,UCSD,HadGEM3-GC31-LL,historical,r3i1p1f3,day,d03,"""pr,tasmax,tasmin""",1950,2014
LOCA2,UCSD,HadGEM3-GC31-LL,ssp585,r2i1p1f3,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,HadGEM3-GC31-LL,ssp585,r3i1p1f3,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,INM-CM5-0,historical,r2i1p1f1,day,d03,"""pr,tasmax,tasmin""",1950,2014
LOCA2,UCSD,INM-CM5-0,historical,r3i1p1f1,day,d03,"""pr,tasmax,tasmin""",1950,2014
LOCA2,UCSD,INM-CM5-0,historical,r4i1p1f1,day,d03,"""pr,tasmax,tasmin""",1950,2014
LOCA2,UCSD,INM-CM5-0,historical,r5i1p1f1,day,d03,"""pr,tasmax,tasmin""",1950,2014
LOCA2,UCSD,INM-CM5-0,ssp370,r2i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,INM-CM5-0,ssp370,r3i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,INM-CM5-0,ssp370,r4i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,INM-CM5-0,ssp370,r5i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,IPSL-CM6A-LR,historical,r5i1p1f1,day,d03,"""pr,tasmax,tasmin""",1950,2014
LOCA2,UCSD,IPSL-CM6A-LR,historical,r6i1p1f1,day,d03,"""pr,tasmax,tasmin""",1950,2014
LOCA2,UCSD,IPSL-CM6A-LR,historical,r7i1p1f1,day,d03,"""pr,tasmax,tasmin""",1950,2014
LOCA2,UCSD,IPSL-CM6A-LR,historical,r8i1p1f1,day,d03,"""pr,tasmax,tasmin""",1950,2014
LOCA2,UCSD,IPSL-CM6A-LR,historical,r9i1p1f1,day,d03,"""pr,tasmax,tasmin""",1950,2014
LOCA2,UCSD,IPSL-CM6A-LR,historical,r10i1p1f1,day,d03,"""pr,tasmax,tasmin""",1950,2014
LOCA2,UCSD,IPSL-CM6A-LR,ssp245,r5i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,IPSL-CM6A-LR,ssp370,r5i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,IPSL-CM6A-LR,ssp370,r6i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,IPSL-CM6A-LR,ssp370,r7i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,IPSL-CM6A-LR,ssp370,r8i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,IPSL-CM6A-LR,ssp370,r9i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,IPSL-CM6A-LR,ssp370,r10i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
